anno_index,coord_x,coord_y,coord_z,diameter,malscore
_Non-nodule 001,0.7734,0.4219,0.4662,0.0117,0
_Non-nodule 002,0.3906,0.668,0.2932,0.0117,0
_Non-nodule 003,0.2129,0.5684,0.4962,0.0117,0
_Non-nodule 004,0.4141,0.3066,0.5263,0.0117,0
IL057_127367,0.7969,0.4082,0.4361,0.0117,0
MI014_12121,0.416,0.3066,0.5263,0.0117,0
MI014_12122,0.2129,0.5684,0.4962,0.0117,0
MI014_12123,0.7793,0.4121,0.4586,0.0117,0
MI014_12124,0.2637,0.6738,0.2932,0.0117,0
MI014_12125,0.3301,0.6699,0.2932,0.0117,0
MI014_12126,0.3906,0.668,0.2932,0.0117,0
MI014_12116,0.7734,0.4219,0.4662,0.0117,0
MI014_12117,0.7969,0.4082,0.4361,0.0117,0
