anno_index,coord_x,coord_y,coord_z,diameter,malscore
124137,0.3418,0.752,0.9072,0.0117,0
124154,0.1113,0.7031,0.7333,0.0117,0
124142,0.748,0.3711,0.2957,0.0117,0
124155,0.6953,0.8047,0.8667,0.0117,0
124143,0.3379,0.7012,0.9246,0.0117,0
124144,0.5996,0.666,0.9246,0.0117,0
124149,0.625,0.7285,0.9072,0.0117,0
124150,0.6836,0.7598,0.8899,0.0117,0
134887,0.3379,0.7012,0.9246,0.0117,0
134888,0.5996,0.666,0.9246,0.0117,0
134898,0.1113,0.7031,0.7333,0.0117,0
17380,0.3242,0.7227,0.9246,0.0117,0
17381,0.625,0.7285,0.9072,0.0117,0
17382,0.6836,0.7598,0.8899,0.0117,0
17383,0.75,0.3613,0.3072,0.0117,0
17368,0.6035,0.6602,0.9246,0.0117,0
17369,0.3535,0.7051,0.9246,0.0117,0
17370,0.3398,0.748,0.9043,0.0117,0
17372,0.6328,0.7305,0.9043,0.0117,0
17373,0.623,0.8008,0.858,0.0117,0
17374,0.748,0.3633,0.2986,0.0117,0
17375,0.3379,0.7012,0.9246,0.0117,0
17376,0.5996,0.666,0.9246,0.0117,0
17386,0.6328,0.7227,0.9072,0.0117,0
17387,0.1113,0.7031,0.7333,0.0117,0
17388,0.748,0.3711,0.2957,0.0117,0
17389,0.6953,0.8047,0.8667,0.0117,0
4,0.6035,0.6602,0.9246,0.0117,0
5,0.3535,0.7051,0.9246,0.0117,0
6,0.3398,0.748,0.9043,0.0117,0
7,0.6328,0.7305,0.9043,0.0117,0
8,0.623,0.8008,0.858,0.0117,0
9,0.748,0.3633,0.2986,0.0117,0
