anno_index,coord_x,coord_y,coord_z,diameter,malscore
0,0.3454,0.4478,0.7425,0.0184,0
1,0.7055,0.5185,0.2906,0.0184,0
2,0.7426,0.467,0.2428,0.0184,0
3,0.3554,0.3815,0.3939,0.0184,0
4,0.7458,0.323,0.4123,0.0184,0
5,0.6611,0.5535,0.4505,0.0184,0
6,0.743,0.4819,0.3379,0.0184,0
7,0.3454,0.4558,0.4563,0.0184,0
8,0.6892,0.4715,0.4164,0.0184,0
9,0.3193,0.6446,0.5467,0.0184,0
10,0.6602,0.543,0.2454,0.0184,0
11,0.6627,0.247,0.3637,0.0184,0
12,0.4277,0.498,0.1464,0.0184,0
13,0.6586,0.4659,0.4929,0.0184,0
14,0.3115,0.5529,0.2773,0.0184,0
15,0.4154,0.3832,0.2682,0.0184,0
16,0.3295,0.6591,0.1391,0.0184,0
17,0.3938,0.4559,0.4887,0.0184,0
18,0.3534,0.5181,0.2454,0.0184,0
19,0.6044,0.243,0.409,0.0184,0
20,0.8399,0.4175,0.2669,0.0184,0
21,0.253,0.6486,0.1076,0.0184,0
22,0.3924,0.5045,0.3267,0.0184,0
23,0.4007,0.4474,0.4423,0.0184,0
24,0.7142,0.2893,0.3894,0.0184,0
25,0.6808,0.5263,0.4357,0.0184,0
26,0.3836,0.5,0.7102,0.0184,0
27,0.7364,0.4874,0.2321,0.0184,0
28,0.3394,0.4277,0.6048,0.0184,0
29,0.4056,0.4137,0.5553,0.0184,0
30,0.4273,0.5398,0.1872,0.0184,0
31,0.3775,0.4579,0.282,0.0184,0
32,0.3514,0.3615,0.4111,0.0184,0
33,0.3755,0.3856,0.5768,0.0184,0
34,0.2443,0.2386,0.2417,0.0184,0
35,0.7618,0.5553,0.1843,0.0184,0
36,0.8112,0.5301,0.3616,0.0184,0
37,0.391,0.6837,0.3533,0.0184,0
38,0.3549,0.5932,0.1733,0.0184,0
39,0.4088,0.475,0.6013,0.0184,0
40,0.2711,0.4639,0.3874,0.0184,0
41,0.4097,0.494,0.3637,0.0184,0
42,0.7108,0.4016,0.4154,0.0184,0
43,0.4225,0.4822,0.6245,0.0184,0
44,0.8031,0.4617,0.2941,0.0184,0
45,0.6546,0.4518,0.2561,0.0184,0
46,0.2249,0.5121,0.3853,0.0184,0
47,0.3574,0.3675,0.4649,0.0184,0
48,0.4157,0.5984,0.2777,0.0184,0
49,0.2631,0.4699,0.5037,0.0184,0
50,0.6385,0.4762,0.2544,0.0184,0
51,0.7229,0.5141,0.269,0.0184,0
52,0.4498,0.4398,0.2518,0.0184,0
53,0.8052,0.5522,0.2497,0.0184,0
54,0.5422,0.3414,0.5876,0.0184,0
55,0.2355,0.6465,0.1117,0.0184,0
56,0.39,0.6926,0.3871,0.0184,0
57,0.6719,0.5352,0.3719,0.0184,0
58,0.3715,0.4458,0.5037,0.0184,0
59,0.745,0.5904,0.3702,0.0184,0
60,0.7008,0.5341,0.2195,0.0184,0
61,0.8296,0.3739,0.3091,0.0184,0
62,0.4284,0.6146,0.5724,0.0184,0
63,0.3387,0.6497,0.6607,0.0184,0
64,0.8112,0.3976,0.4046,0.0184,0
65,0.2019,0.6279,0.1325,0.0184,0
66,0.3896,0.2852,0.3315,0.0184,0
67,0.3732,0.5438,0.2473,0.0184,0
68,0.3705,0.5009,0.4309,0.0184,0
69,0.6098,0.4472,0.205,0.0184,0
70,0.5939,0.5596,0.1865,0.0184,0
71,0.7992,0.5301,0.1657,0.0184,0
72,0.8394,0.4579,0.2002,0.0184,0
73,0.2872,0.6345,0.1464,0.0184,0
74,0.3949,0.2733,0.3987,0.0184,0
75,0.1795,0.5502,0.2085,0.0184,0
76,0.3876,0.5884,0.9061,0.0184,0
77,0.4079,0.4532,0.3218,0.0184,0
78,0.6425,0.5088,0.3896,0.0184,0
79,0.7188,0.446,0.5334,0.0184,0
80,0.2811,0.5361,0.2497,0.0184,0
81,0.7666,0.4025,0.5575,0.0184,0
82,0.761,0.6104,0.4262,0.0184,0
83,0.4056,0.5462,0.155,0.0184,0
84,0.6611,0.5309,0.3177,0.0184,0
85,0.3635,0.5422,0.6608,0.0184,0
86,0.6584,0.5078,0.3987,0.0184,0
87,0.3653,0.6996,0.3289,0.0184,0
88,0.301,0.6668,0.1313,0.0184,0
89,0.3976,0.5562,0.2217,0.0184,0
90,0.4466,0.5752,0.311,0.0184,0
91,0.6586,0.5823,0.1873,0.0184,0
92,0.3996,0.4398,0.6457,0.0184,0
93,0.3715,0.4277,0.3186,0.0184,0
94,0.2119,0.4527,0.3242,0.0184,0
95,0.3735,0.6687,0.7146,0.0184,0
96,0.5964,0.3715,0.6457,0.0184,0
97,0.3775,0.5261,0.4111,0.0184,0
98,0.7188,0.5417,0.3126,0.0184,0
99,0.3244,0.5239,0.4481,0.0184,0
100,0.4425,0.4612,0.3249,0.0184,0
101,0.2972,0.3956,0.4455,0.0184,0
102,0.6719,0.5,0.2991,0.0184,0
103,0.2631,0.255,0.2583,0.0184,0
104,0.4167,0.5538,0.2287,0.0184,0
105,0.5681,0.4349,0.2086,0.0184,0
106,0.8179,0.4635,0.2081,0.0184,0
107,0.3876,0.502,0.5424,0.0184,0
108,0.3867,0.3395,0.2896,0.0184,0
109,0.235,0.3815,0.4412,0.0184,0
110,0.762,0.5317,0.2051,0.0184,0
111,0.5884,0.5683,0.1657,0.0184,0
112,0.6151,0.4722,0.2316,0.0184,0
113,0.2912,0.6285,0.2755,0.0184,0
114,0.2711,0.4518,0.3336,0.0184,0
